n,CS2,CS
1,0.0268622325,0.1638970179
2,0.0265821403,0.1630403027
3,0.0263148932,0.1622186587
4,0.0260856464,0.1615105147
5,0.0258353472,0.1607337773
6,0.0256550275,0.1601718685
7,0.0255078656,0.1597118204
8,0.0253972696,0.1593652082
9,0.0252751736,0.158981677
10,0.0251635804,0.1586303262
11,0.0251025422,0.158437818
12,0.0250961393,0.1584176103
13,0.0250592808,0.1583012344
14,0.0250227754,0.1581858886
15,0.0250077848,0.1581384987
16,0.0250219134,0.1581831642
17,0.0250692545,0.1583327335
18,0.0251179322,0.1584863784
19,0.0251993288,0.1587429647
20,0.0253344131,0.1591678773
21,0.0254572992,0.1595534369
22,0.0255640335,0.1598875652
23,0.0256249608,0.1600779836
24,0.0256561909,0.1601755002
25,0.0256991772,0.1603096292
26,0.0257567103,0.1604889726
27,0.0258027391,0.1606323102
28,0.0258448136,0.1607632223
29,0.0259022129,0.1609416445
30,0.026026146,0.1613262098
31,0.0261833517,0.1618127057
32,0.0263361413,0.1622841376
33,0.0264752093,0.1627120441
34,0.0265968708,0.1630854707
35,0.0267366982,0.1635136025
36,0.0268691032,0.1639179771
37,0.0269792448,0.164253599
38,0.027050962,0.1644717664
39,0.0271130807,0.1646605014
40,0.0271567151,0.164792946
41,0.0271838223,0.164875172
42,0.027195574,0.1649108062
43,0.0272293886,0.1650132982
44,0.0272482528,0.1650704479
45,0.0272280285,0.1650091769
46,0.0271712509,0.1648370436
47,0.0270786973,0.1645560614
48,0.026982042,0.1642621137
49,0.0268848734,0.1639660739
50,0.0267611585,0.1635883813
51,0.0266635169,0.1632896718
52,0.0266261508,0.1631752151
53,0.0266565925,0.1632684675
54,0.0267375522,0.163516214
55,0.026870257,0.1639214964
56,0.0270799165,0.1645597657
57,0.0273108114,0.16525983
58,0.0275818191,0.16607775
59,0.0278500096,0.1668832214
60,0.0280793057,0.1675688088
61,0.0282798294,0.1681660769
62,0.028438687,0.1686377391
63,0.0285739256,0.1690382371
64,0.0286465927,0.1692530433
65,0.0286591384,0.1692901012
66,0.0286040815,0.1691274119
67,0.0284980695,0.1688137123
68,0.0283722262,0.1684405718
69,0.028273211,0.1681463976
70,0.0281834942,0.1678794037
71,0.0281126431,0.167668253
72,0.0280577436,0.1675044584
73,0.0279762828,0.1672611215
74,0.0278812595,0.1669768232
75,0.0277882506,0.1666980822
76,0.0276730017,0.1663520416
77,0.0275502239,0.165982601
78,0.0274724703,0.1657482135
79,0.0274020843,0.1655357494
80,0.0273600316,0.1654086805
81,0.02735102,0.1653814379
82,0.0273142682,0.1652702882
83,0.0272807826,0.1651689516
84,0.02726223,0.1651127796
85,0.0272620763,0.1651123143
86,0.0272744843,0.1651498843
87,0.0272993747,0.1652252242
88,0.0273317227,0.1653230858
89,0.0273497833,0.1653776989
90,0.0273689316,0.1654355814
91,0.0273548132,0.1653929055
92,0.0273238859,0.1652993827
93,0.0273120338,0.1652635284
94,0.027317464,0.1652799564
95,0.0273156587,0.165274495
96,0.0273027521,0.1652354443
97,0.0272477103,0.1650688047
98,0.0272307456,0.1650174099
99,0.0272053367,0.1649404034
100,0.0271713325,0.1648372909
101,0.0271734255,0.1648436395
102,0.0271906536,0.164895887
103,0.0272873193,0.1651887385
104,0.0273968911,0.1655200624
105,0.0275072998,0.1658532478
106,0.027609914,0.1661623123
107,0.0277155573,0.1664799005
108,0.0278077144,0.1667564524
109,0.0279450956,0.1671678667
110,0.028049172,0.1674788704
111,0.0281200125,0.1676902278
112,0.0281957684,0.1679159563
113,0.0282642005,0.1681196018
114,0.028312349,0.1682627381
115,0.0283686739,0.1684300266
116,0.0284008592,0.1685255446
117,0.0284594086,0.1686991658
118,0.0284994295,0.1688177406
119,0.0285229976,0.1688875294
120,0.0285540367,0.1689793972
121,0.0285648923,0.1690115152
122,0.0285535411,0.1689779309
123,0.0285127361,0.1688571472
124,0.0284518057,0.1686766304
125,0.0283775722,0.16845644
126,0.0282925019,0.1682037511
127,0.0282611849,0.168110633
128,0.0282286862,0.1680139463
129,0.0282008501,0.1679310874
130,0.0281635352,0.1678199488
131,0.0281823642,0.1678760381
132,0.0282327766,0.1680261188
133,0.028281914,0.1681722748
134,0.0283234457,0.1682957091
135,0.0283920014,0.1684992624
136,0.02845585,0.1686886185
137,0.0285596812,0.1689960982
138,0.0286850561,0.1693666322
139,0.0288119487,0.1697408279
140,0.0289000793,0.1700002332
141,0.0289677012,0.1701990046
142,0.0289975331,0.1702866204
143,0.0290032653,0.1703034505
144,0.0290075116,0.170315917
145,0.029007356,0.1703154601
146,0.0289640147,0.1701881743
147,0.0289251967,0.1700740918
148,0.0288949106,0.1699850304
149,0.0288473456,0.1698450635
150,0.0287924315,0.1696833271
151,0.028746336,0.1695474447
152,0.0287376087,0.1695217056
153,0.0287233593,0.1694796722
154,0.0287064659,0.169429826
155,0.0286688943,0.1693189131
156,0.028643803,0.169244802
157,0.0286253003,0.1691901307
158,0.0286287295,0.1692002644
159,0.0286533614,0.1692730379
160,0.0286925726,0.1693888208
161,0.028758141,0.1695822543
162,0.0288771885,0.1699328942
163,0.0290065953,0.170313227
164,0.0291345579,0.1706884821
165,0.0292684977,0.1710803837
166,0.0294052036,0.1714794554
167,0.0295228053,0.1718220163
168,0.0296395133,0.1721613001
169,0.0297448608,0.1724669847
170,0.0298364407,0.1727322803
171,0.0299220933,0.1729800374
172,0.029976048,0.1731359235
173,0.0300355577,0.1733076965
174,0.0300811541,0.1734391943
175,0.0301489125,0.1736344219
176,0.0302450886,0.1739111514
177,0.0303660778,0.1742586519
178,0.0304828392,0.1745933539
179,0.0305911077,0.1749031381
180,0.0307324674,0.1753067809
181,0.0308613826,0.1756740807
182,0.0309890608,0.1760371005
183,0.0311796767,0.1765776788
184,0.0313516528,0.1770639793
185,0.0315300764,0.177567104
186,0.0316736143,0.1779708243
187,0.031767388,0.1782340819
188,0.0317864511,0.1782875517
189,0.0317642467,0.1782252696
190,0.031703265,0.178054107
191,0.0316357158,0.1778643184
192,0.0315841443,0.177719285
193,0.0315800249,0.1777076951
194,0.0316164954,0.1778102792
195,0.0316852314,0.1780034589
196,0.0317510541,0.1781882546
197,0.0317908616,0.1782999204
198,0.0318535308,0.1784755747
199,0.0318700026,0.1785217146
200,0.0318842336,0.1785615681
201,0.031918516,0.1786575383
202,0.0319431936,0.1787265888
203,0.0319387362,0.1787141187
204,0.0319267136,0.1786804791
205,0.0318736742,0.1785319977
206,0.0318190042,0.1783788222
207,0.0317418742,0.1781624939
208,0.0316839991,0.1779999973
209,0.0316473821,0.177897111
210,0.0315755409,0.1776950784
211,0.0314685376,0.1773937359
212,0.0313351591,0.1770173977
213,0.0312011717,0.1766385341
214,0.0310492434,0.1762079551
215,0.0308750134,0.1757128719
216,0.0307393103,0.1753262966
217,0.0305900228,0.1749000367
218,0.0304397543,0.1744699237
219,0.0302623955,0.1739609021
220,0.030086589,0.1734548615
221,0.0299142671,0.1729574141
222,0.0297500787,0.1724821113
223,0.0296175824,0.1720975957
224,0.0294977536,0.1717491006
225,0.0294006948,0.171466308
226,0.0293247869,0.1712448157
227,0.029237189,0.1709888563
228,0.0291880891,0.1708452197
229,0.0291275745,0.1706680241
230,0.0291221525,0.170652139
231,0.0291174642,0.170638402
232,0.0291162766,0.1706349221
233,0.0290812699,0.1705323134
234,0.0290510521,0.1704436918
235,0.0290167408,0.1703430092
236,0.0289644325,0.1701894018
237,0.0289480076,0.1701411401
238,0.0289145859,0.1700428943
239,0.0288900209,0.1699706472
240,0.0288386012,0.1698193194
241,0.0287825156,0.1696541057
242,0.0286693419,0.1693202349
243,0.028482047,0.1687662497
244,0.0282958992,0.1682138497
245,0.028086691,0.167590844
246,0.0278830627,0.1669822226
247,0.0277182016,0.1664878422
248,0.0275161417,0.1658799015
249,0.0273670172,0.1654297955
250,0.0273137307,0.1652686621
251,0.0273538322,0.1653899399
252,0.0274006909,0.1655315406
253,0.0274458397,0.1656678595
254,0.0275655864,0.1660288723
255,0.0276854719,0.1663895187
256,0.0278741553,0.1669555488
257,0.0280534028,0.1674915008
258,0.0281774635,0.1678614414
259,0.0282395872,0.1680463842
260,0.0282737043,0.1681478643
261,0.0283174675,0.1682779471
262,0.0283447286,0.168358928
263,0.0283490643,0.1683718036
264,0.0283422994,0.1683517134
265,0.0284269599,0.1686029653
266,0.0285268822,0.1688990295
267,0.0287172607,0.1694616793
268,0.0289405426,0.1701192012
269,0.0291317421,0.1706802334
270,0.0292917565,0.1711483465
271,0.0294520934,0.1716161222
272,0.0295820145,0.1719942281
273,0.0296791376,0.1722763407
274,0.0298155404,0.1726717708
275,0.0300892835,0.1734626285
276,0.0303308667,0.1741575915
277,0.0305662988,0.1748322017
278,0.0308099053,0.1755275059
279,0.0309632835,0.1759638699
280,0.0310936184,0.1763338266
281,0.0311704816,0.1765516401
282,0.0312385103,0.1767441947
283,0.0313679592,0.1771100201
284,0.0315938351,0.1777465473
285,0.0318942758,0.1785896856
286,0.0321988173,0.1794402889
287,0.0324546767,0.1801518158
288,0.0326477908,0.1806869967
289,0.0327376182,0.1809353978
290,0.0327543496,0.1809816277
291,0.032729716,0.1809135595
292,0.0326246158,0.1806228553
293,0.032419885,0.1800552277
294,0.0322030965,0.1794522122
295,0.031954459,0.1787581018
296,0.0316805724,0.1779903717
297,0.031511933,0.1775160078
298,0.0313446946,0.1770443296
299,0.0311324971,0.176444034
300,0.0310214588,0.1761290969
301,0.0309640931,0.1759661703
302,0.0309216204,0.1758454446
303,0.0308961291,0.1757729476
304,0.0308869407,0.1757468086
305,0.0310062015,0.1760857789
306,0.0311686622,0.1765464874
307,0.03131826,0.1769696586
308,0.0314706155,0.1773995927
309,0.0316001153,0.1777642128
310,0.0317852747,0.1782842526
311,0.0320506975,0.1790270858
312,0.0323928776,0.1799802145
313,0.0326863241,0.1807935953
314,0.0329156822,0.1814267958
315,0.0330357042,0.1817572672
316,0.0330509893,0.1817993106
317,0.0329806789,0.181605834
318,0.0328871698,0.1813482003
319,0.0327652284,0.1810116803
320,0.0326290887,0.1806352366
321,0.0324681252,0.1801891373
322,0.0323121127,0.1797557027
323,0.0321392251,0.1792741619
324,0.0319394437,0.1787160981
325,0.0317345651,0.1781419802
326,0.0315198615,0.1775383383
327,0.0313749351,0.1771297127
328,0.0312604559,0.1768062667
329,0.0312381011,0.176743037
330,0.0312632582,0.1768141913
331,0.0312225682,0.1766990895
332,0.0311097004,0.1763794216
333,0.0310067984,0.1760874737
334,0.0309468233,0.1759170921
335,0.0309165847,0.1758311255
336,0.0309544565,0.1759387862
337,0.0310965873,0.1763422448
338,0.0312232891,0.1767011294
339,0.0313114113,0.1769503074
340,0.0313629678,0.1770959282
341,0.0314555748,0.1773571956
342,0.0316295163,0.1778468902
343,0.0318153916,0.1783686956
344,0.0319689536,0.1787986399
345,0.0321151847,0.1792071001
346,0.0322079399,0.1794657069
347,0.0322381257,0.1795497861
348,0.0321910506,0.1794186461
349,0.0320593183,0.179051161
350,0.0319014003,0.1786096312
351,0.0317796287,0.1782684175
352,0.0316581369,0.1779273361
353,0.0314820648,0.1774318596
354,0.031264983,0.1768190684
355,0.0310784022,0.1762906753
356,0.0308849249,0.1757410736
357,0.0307150651,0.17525714
358,0.030569637,0.1748417486
359,0.0304500895,0.17449954
360,0.0303045773,0.1740820993
361,0.0301957022,0.173769106
362,0.0300967561,0.1734841668
363,0.0299850944,0.1731620465
364,0.0298867737,0.1728779157
365,0.0298310801,0.1727167625
366,0.0297921054,0.1726038973
367,0.0297697961,0.1725392597
368,0.0297253596,0.1724104393
369,0.0296582087,0.172215588
370,0.0295552287,0.1719163421
371,0.0294204767,0.1715239829
372,0.0293261463,0.1712487848
373,0.0292899951,0.1711432006
374,0.0292340157,0.1709795768
375,0.0291630501,0.1707719241
376,0.0291092498,0.1706143306
377,0.0290372313,0.1704031434
378,0.0289786732,0.1702312345
379,0.0289507426,0.1701491774
380,0.0289567766,0.170166908
381,0.0290014518,0.1702981261
382,0.0290457633,0.1704281765
383,0.0291121175,0.1706227345
384,0.029198945,0.170876988
385,0.029311904,0.1712071961
386,0.0294345432,0.1715649823
387,0.0295564218,0.1719198121
388,0.0296815743,0.1722834127
389,0.0297860418,0.1725863314
390,0.0298955772,0.1729033753
391,0.0300589324,0.1733751206
392,0.0302082199,0.1738051206
393,0.0303347126,0.1741686327
394,0.0304043904,0.1743685476
395,0.030440395,0.17447176
396,0.0304745151,0.1745695138
397,0.0304972456,0.1746346061
398,0.0305129561,0.1746795813
399,0.030544051,0.174768564
400,0.0305651963,0.1748290487
